@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %05s "LHCB1"
@ PARTICLE         %06s "PROTON"
 "BPM.10R5.B1"              12313.10483        25.60164822
 "BPM.11R5.B1"              12365.88752        178.5963124
 "BPM.12R5.B1"                12420.614        37.07843205
 "BPM.13R5.B1"              12474.06549         171.278433
 "BPM.14R5.B1"              12527.51697        30.93444216
 "BPM.15R5.B1"              12580.96846        171.0049833
 "BPM.16R5.B1"              12634.41994        30.93444255
 "BPM.17R5.B1"              12687.87142        171.0049844
 "BPM.18R5.B1"              12741.32291        30.93444211
 "BPM.19R5.B1"              12794.77439        171.0049837
 "BPM.20R5.B1"              12848.22588        30.93444259
 "BPM.21R5.B1"              12901.67736         171.004984
 "BPM.22R5.B1"              12955.12884        30.93444209
 "BPM.23R5.B1"              13008.58033        171.0049842
 "BPM.24R5.B1"              13062.03181        30.93444259
 "BPM.25R5.B1"               13115.4833        171.0049835
 "BPM.26R5.B1"              13168.93478        30.93444209
 "BPM.27R5.B1"              13222.38626        171.0049846
 "BPM.28R5.B1"              13275.83775        30.93444257
 "BPM.29R5.B1"              13329.28923        171.0049831
 "BPM.30R5.B1"              13382.74072        30.93444213
 "BPM.31R5.B1"               13436.1922         171.004985
 "BPM.32R5.B1"              13489.64369        30.93444252
 "BPM.33R5.B1"              13543.09517        171.0049828
 "BPM.34R5.B1"              13596.54665        30.93444219
 "BPM.33L6.B1"              13649.99814        171.0049853
 "BPM.32L6.B1"              13703.44962        30.93444246
 "BPM.31L6.B1"              13756.90111        171.0049826
 "BPM.30L6.B1"              13810.35259        30.93444227
 "BPM.29L6.B1"              13863.80407        171.0049854
 "BPM.28L6.B1"              13917.25556        30.93444237
 "BPM.27L6.B1"              13970.70704        171.0049826
 "BPM.26L6.B1"              14024.15853        30.93444235
 "BPM.25L6.B1"              14077.61001        171.0049853
 "BPM.24L6.B1"              14131.06149        30.93444229
 "BPM.23L6.B1"              14184.51298        171.0049827
 "BPM.22L6.B1"              14237.96446        30.93444244
 "BPM.21L6.B1"              14291.41595        171.0049851
 "BPM.20L6.B1"              14344.86743        30.93444221
 "BPM.19L6.B1"              14398.31891         171.004983
 "BPM.18L6.B1"               14451.7704        30.93444251
 "BPM.17L6.B1"              14505.22188        171.0049848
 "BPM.16L6.B1"              14558.67337        30.93444214
 "BPM.15L6.B1"              14612.12485        171.0049834
 "BPM.14L6.B1"              14665.57634        30.93444256
 "BPM.13L6.B1"              14719.02782        171.0049843
 "BPM.12L6.B1"               14772.4793        30.93378096
 "BPM.11L6.B1"              14825.93079        173.7679736
 "BPM.10L6.B1"              14877.77148        27.13467647
 "BPM.9L6.B1"               14916.83847        112.9691122
 "BPM.8L6.B1"               14957.30346        17.90722287
 "BPMYA.5L6.B1"             15054.39345        582.9641803
 "BPMYB.4L6.B1"             15090.79345        227.6697091
 "BPMSA.B4L6.B1"            15122.78395        173.1190388
 "BPMSA.A4L6.B1"            15123.36895        172.6036604
 "BPMSE.4L6.B1"             15220.04395        152.3825851
 "BPMSA.4R6.B1"             15311.61395        252.2979443
 "BPMSB.A4R6.B1"            15408.42395        483.9033612
 "BPMSB.B4R6.B1"            15409.05895        485.8499359
 "BPMYA.4R6.B1"             15434.39345        568.0567444
 "BPMYB.5R6.B1"             15470.79345        171.0058144
 "BPM.8R6.B1"               15566.52043        130.5170929
 "BPM.9R6.B1"               15605.58742         16.9898045
 "BPM.10R6.B1"              15646.05241        152.4254399
 "BPM.11R6.B1"               15697.8931        38.52817937
 "BPM.12R6.B1"              15752.61959        171.6419424
 "BPM.13R6.B1"              15806.07107        30.93643301
 "BPM.14R6.B1"              15859.52255        171.0049825
 "BPM.15R6.B1"              15912.97404        30.93444226
 "BPM.16R6.B1"              15966.42552        171.0049855
 "BPM.17R6.B1"              16019.87701        30.93444238
 "BPM.18R6.B1"              16073.32849        171.0049825
 "BPM.19R6.B1"              16126.77998        30.93444235
 "BPM.20R6.B1"              16180.23146        171.0049854
 "BPM.21R6.B1"              16233.68294        30.93444229
 "BPM.22R6.B1"              16287.13443        171.0049826
 "BPM.23R6.B1"              16340.58591        30.93444244
 "BPM.24R6.B1"               16394.0374        171.0049852
 "BPM.25R6.B1"              16447.48888         30.9344422
 "BPM.26R6.B1"              16500.94036        171.0049829
 "BPM.27R6.B1"              16554.39185        30.93444252
 "BPM.28R6.B1"              16607.84333        171.0049848
 "BPM.29R6.B1"              16661.29482        30.93444213
 "BPM.30R6.B1"               16714.7463        171.0049833
 "BPM.31R6.B1"              16768.19778        30.93444258
 "BPM.32R6.B1"              16821.64927        171.0049844
 "BPM.33R6.B1"              16875.10075        30.93444208
 "BPM.34R6.B1"              16928.55224        171.0049838
 "BPM.33L7.B1"              16982.00372        30.93444261
 "BPM.32L7.B1"              17035.45521        171.0049839
 "BPM.31L7.B1"              17088.90669        30.93444207
 "BPM.30L7.B1"              17142.35817        171.0049843
 "BPM.29L7.B1"              17195.80966        30.93444261
 "BPM.28L7.B1"              17249.26114        171.0049834
 "BPM.27L7.B1"              17302.71263        30.93444208
 "BPM.26L7.B1"              17356.16411        171.0049848
 "BPM.25L7.B1"              17409.61559        30.93444258
 "BPM.24L7.B1"              17463.06708        171.0049829
 "BPM.23L7.B1"              17516.51856        30.93444213
 "BPM.22L7.B1"              17569.97005        171.0049851
 "BPM.21L7.B1"              17623.42153        30.93444253
 "BPM.20L7.B1"              17676.87301        171.0049826
 "BPM.19L7.B1"               17730.3245        30.93444219
 "BPM.18L7.B1"              17783.77598        171.0049854
 "BPM.17L7.B1"              17837.22747        30.93444245
 "BPM.16L7.B1"              17890.67895        171.0049825
 "BPM.15L7.B1"              17944.13043        30.93444228
 "BPM.14L7.B1"              17997.58192        171.0049855
 "BPM.13L7.B1"               18051.0334        30.93444236
 "BPM.12L7.B1"              18104.48489        171.0607539
 "BPM.11L7.B1"              18157.93637         31.3725493
 "BPM.10L7.B1"              18210.71906        157.1950983
 "BPM.9L7.B1"               18249.78605        27.37546574
 "BPM.8L7.B1"               18290.25104        80.39514378
 "BPM.7L7.B1"               18329.31703        67.35783085
 "BPM.6L7.B1"               18364.13503        240.5056683
 "BPMWC.6L7.B1"             18376.23753        238.4294962
 "BPMWE.5L7.B1"             18453.29153        28.93150148
 "BPMW.5L7.B1"              18476.49653        65.83939146
 "BPMWE.4L7.B1"             18511.58153        277.5153311
 "BPMW.4L7.B1"              18539.68653        342.5050981
 "BPMW.4R7.B1"              18655.73353        45.93436767
 "BPMWE.4R7.B1"             18683.83853        94.10602273
 "BPMW.5R7.B1"              18718.92353        309.2946025
 "BPMWE.5R7.B1"             18742.12853        349.9919188
 "BPMR.6R7.B1"              18821.34403        59.28305423
 "BPM_A.7R7.B1"             18859.38003        117.2010295
 "BPM.8R7.B1"               18898.44602        22.14636754
 "BPM.9R7.B1"               18937.51301        103.1122341
 "BPM.10R7.B1"                18977.978        33.54735268
 "BPM.11R7.B1"              19030.76069        178.3047778
 "BPM.12R7.B1"              19085.48717        30.14113093
 "BPM.13R7.B1"              19138.93865        170.9659753
 "BPM.14R7.B1"              19192.39014        30.93444216
 "BPM.15R7.B1"              19245.84162        171.0049831
